LOC,CyclomaticComplexity,ParameterCount,IsBuggy
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.064935,0.125,0,no
0.025974,0,0.25,no
0.064935,0.125,0,no
0.025974,0,0.25,no
0.064935,0.125,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.064935,0.125,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.077922,0.125,0,no
0.025974,0,0.25,no
0.064935,0.125,0,no
0.025974,0,0.25,no
0.051948,0,0.5,no
0.181818,0.25,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.272727,0.875,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.155844,0,0,no
0.883117,1,1,no
0.038961,0,0.5,no
0.038961,0.125,0,no
0.116883,0.125,0.25,no
0.051948,0,0.25,no
0.454545,0.5,0.5,no
0.025974,0,0,no
0.090909,0,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.038961,0,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.181818,0.25,0,no
0.012987,0,0,no
0.025974,0,0.25,no
0.064935,0.125,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.038961,0,0.25,no
0.181818,0,0.25,no
0.545455,0.625,0,no
0.12987,0.125,0,no
0.051948,0,0,no
0.038961,0,0,no
0.090909,0.125,0,no
0.038961,0,0,no
0.025974,0,0.25,no
0.038961,0,0.25,no
0.038961,0,0.5,no
0.051948,0,0,no
